element_type,osmid,amenity,check_date,created_by,name,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,fax,isced:level,old_name,phone,ref:educamadrid,short_name,operator:type,email,website,opening_hours,wheelchair,operator,language:de,contact:facebook,mobile,office,alt_name,description,source,source:date,addr:country,barrier,level,contact:phone,contact:website,nursery,wheelchair:description:es,language:en,wikidata,wikipedia,after_school,fee,preschool,max_age,min_age,building:use,nodes,building,fence_type,denomination,religion,school:language,name:etymology:wikidata,fence,height,language:fr,building:material,roof:height,roof:shape,building:levels,ways,type
node,266167823,kindergarten,,,Centro Privado de Educación Infantil Santa Claus,POINT (-3.6503592 40.4596414),Madrid,28,28043,Calle de Nápoles,,,,+34914135338,28014375,CPEI Santa Claus,private,,https://www.escuelainfantilsantaclaus.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167864,kindergarten,,,Centro Privado de Educación Infantil Los Lapazares,POINT (-3.6623231 40.3915883),,6,28053,Calle Antonio Durán Tovar,+34914771327,0,,+34914775628,28016219,CPEI Los Lapazares,private,cc.loslapazares.madrid@educa.madrid.org,https://www.materclem.es/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167869,kindergarten,,,Mi Cole,POINT (-3.5916123 40.4530898),,28,28042,Calle del Balandro,,0,,+34917427060,28016891,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167870,kindergarten,,,Escuela Infantil Privada Los Pinos,POINT (-3.663176 40.4230978),,38,28028,Calle José Celestino Mutis,,0,,+34917250761,28017145,EIPR Los Pinos,private,nuria@escuelainfantillospinos.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167887,kindergarten,,,Escuela de Educación Infantil Jesús Divino Obrero,POINT (-3.7739574 40.3810677),,,28044,Calle de Blas Cabrera,+34917064033,0,,+34917064033,28018216,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167929,kindergarten,,,Sagrada Familia,POINT (-3.657173 40.4230314),,114,28017,Calle de Ricardo Ortiz,,0,,+34913551119,28019661,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168021,kindergarten,,,Escuela Infantil Privada Monseñor Alves Bras,POINT (-3.7698471 40.3977434),,24,28024,Calle de Villaviciosa,+34917118051,0,,+34915182640;+34915182642,28021641,EIPR Monseñor Alves Bras,private,cc.monsenoralvesbras.madrid@educa.madrid.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168101,kindergarten,,,Escuela Infantil Privada Santa Mónica,POINT (-3.75192 40.4068699),,29,28011,Calle de Villamanín,,0,,+34914649839,28022281,EIPR Santa Mónica,private,santamonica93@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168102,kindergarten,,,Fisbis,POINT (-3.7031458 40.39289),,,28026,Calle de San Graciano,,0,,+34914756702,28022220,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168106,kindergarten,,,Escuela Infantil Privada Vida,POINT (-3.6492267 40.4105917),Madrid,5,28030,Calle del Corregidor José de Pasamonte,,0,,+34914309859;+34616959534,28022359,EIPR Vida,private,centrovida@centrovida.es,http://www.centrovida.es/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168335,kindergarten,,,Parque,POINT (-3.7507826 40.3789296),,7,28047,Calle del Pingüino,+34916167792,0,,+34914610288,28026109,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168337,kindergarten,,,Escuela Infantil Privada Cuna de Jesús,POINT (-3.6711865 40.4350174),,26,28028,Calle de Ferrer del Río,+34917269457,0,,+34917256327;+34913557668,28026158,EIPR Cuna de Jesús,private,cc.cunadejesus.madrid@educa.madrid.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168360,kindergarten,,,Escuela Infantil Privada Projardin Retiro,POINT (-3.6726772 40.4155186),Madrid,5,28009,Plaza del Doctor Laguna,+34915735357,0,,+34914090968;+34606212241,28025920,EIPR Projardin Retiro,private,retiro@projardin.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168408,kindergarten,,,Escuela Infantil Privada Andal Alameda,POINT (-3.5885942 40.4558317),,1,28042,Plaza del Navío,,0,,+34917410017,28028635,EIPR Andal Alameda,private,escuelasinfantilesandal@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168420,kindergarten,,,Centro Privado de Educación Infantil Pipo's,POINT (-3.699962 40.3990263),,50,28045,Calle de Cáceres,,0,,+34914736299;+34691669616,28028490,CPEI Pipo's,private,info@escuelainfantilpipos.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168437,kindergarten,,,Escuela Infantil Privada San Alonso de Orozco,POINT (-3.717981 40.4458861),,6,28003,Calle de Vicente Aleixandre,,0,,+34915531097;+34650831333,28028283,EIPR San Alonso de Orozco,private,eisanalonso.madrid@agustinas.es,http://madrid.agustinas.es/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168463,kindergarten,,,Centro Privado de Educación Infantil Nazaret,POINT (-3.6766629 40.4417984),,3,28002,Calle de Quintiliano,+34915617244,0,,+34915617244;+34619953397,28030319,CPEI Nazaret,private,cc.nazaretchamartin.madrid@educa.madrid.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168556,kindergarten,,,Escuela Infantil Tren de Piscis,POINT (-3.6539905 40.4108515),,51,28030,Calle del Camino de los Vinateros,,0,,+34914301159,28029767,EEI Tren de Piscis,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168576,kindergarten,,,Magdalena Aulina,POINT (-3.663684 40.4638727),,5,28033,Calle de Aleixandre,+34918518903,0,,+34913591607,28032729,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168589,kindergarten,,,Escuela Infantil Privada Agarimo,POINT (-3.7149093 40.4341757),,61,28015,Calle de Fernando el Católico,,0,,+34915445466,28033394,EIPR Agarimo,private,palomagonza@yahoo.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168614,kindergarten,,,Centro Privado de Educación Infantil Verbo Encarnado,POINT (-3.7002434 40.4456395),,28,28003,Calle de Alenza,,0,,+34915340516;+34915343243,28033023,CPEI Verbo Encarnado,private,cc.verboencarnado.madrid@educa.madrid.org,http://www.educa.madrid.org/cc.verboencarnado.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168692,kindergarten,,,Escuela Infantil Privada Arlequín,POINT (-3.7523662 40.3943263),,69,28047,Calle de los Yébenes,,0,,+34917192982;+34655152826;+34678233071,28031385,EIPR Arlequín,private,educartearlequin@gmail.com,http://escuelainfantilarlequin.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168710,kindergarten,,,Centro Privado de Educación Infantil Santa Luisa,POINT (-3.6805743 40.3529246),,21,28021,Calle del Tántalo,,0,,+34917960853,28032109,CPEI Santa Luisa,private,cc.santaluisa.madrid@educa.madrid.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168721,kindergarten,,,Niro,POINT (-3.6820848 40.4078303),,18,28014,Calle de Andrés Torrejón,,0,,+34915524561,28031609,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168727,kindergarten,,,Pequeñines,POINT (-3.7507419 40.379085),,7,28047,Calle del Pingüino,,0,,+34915257235,28031567,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168745,kindergarten,,,Yaki,POINT (-3.6885068 40.4973066),,19,28034,Calle de Afueras a Valverde,,0,,+34913550621,28035721,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168748,kindergarten,,,Escuela Infantil Privada Magos,POINT (-3.6752577 40.4152588),,24,28009,Calle del Doce de Octubre,,0,,+34640734319;+3461069610,28035858,EIPR Magos,private,escuelamagos@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168759,kindergarten,,,El Patio de Mi Casa,POINT (-3.7325401 40.4770912),,338,28035,Avenida del Cardenal Herrera Oria,,0,,+34913160955,28036000,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168761,kindergarten,,,Escuela Infantil Privada Jardín de las Delicias,POINT (-3.6923674 40.397388),Madrid,43,28045,Calle de Tomás Bretón,,0,,+34915304863,28036024,EIPR Jardín de las Delicias,private,contacto@jardindelasdelicias.net,http://lnx.jardindelasdelicias.net,Mo-Fr 07:30-18:00,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168762,kindergarten,,,Escuela Infantil Privada La Cometa,POINT (-3.708656 40.3808099),Madrid,10,28026,Calle de González Arias,+34914769181,0,,+34914769181;+34640082678,28036516,EIPR La Cometa,private,ei.lacometa@hotmail.com,https://escuelainfantillacometa.es/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168792,kindergarten,,,Escuela Infantil Privada La Casita de los Pitufos II,POINT (-3.6483644 40.4071509),,141,28030,Avenida de Moratalaz,,0,,+34916183104;+34660276277,28037132,EIPR La Casita de los Pitufos II,private,lacasitadelospitufosmoratalaz2@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168796,kindergarten,,,Escuela Infantil Privada San Vicente de Paúl,POINT (-3.7260154 40.3850034),,1,28025,Plaza de San Vicente de Paúl,+34914691445,0,,+34914691445;+34601138122,28037430,EIPR San Vicente de Paúl,private,cc.sanvicentedepaul.madrid@educa.madrid.org,https://www.escuelainfantilsanvicente.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168837,kindergarten,,,La Locomotora,POINT (-3.7059276 40.4784006),,14,28029,Plaza de Mondariz,+34917303930,0,,+34917303930,28034696,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266168934,kindergarten,,,"Escuela Infantil Privada Eduka, Escuela Infantil",POINT (-3.7267675 40.4804481),,19,28035,Calle de Alicia Baena,,0,,+34913167443,28039402,"EIPR Eduka, EEI",private,escuelaeduka@gmail.com,http://www.escuelainfantileduka.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169074,kindergarten,,,Centro Privado de Educación Infantil Nazaret,POINT (-3.6472591 40.3919789),,1,28038,Calle Arenas de Iguña,,0,,+34917771022,28041019,CPEI Nazaret,private,cc.nazaret.madrid@educa.madrid.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169180,kindergarten,,,Escuela Infantil Privada Virgen del Parque,POINT (-3.7536718 40.3779132),,74,28047,Calle de Jacobinia,,0,,+34914660986;+34616861526,28040261,EIPR Virgen del Parque,private,virgendelparque@yahoo.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169190,kindergarten,,,Escuela Infantil Los Girasoles,POINT (-3.6523231 40.4004827),,,28038,Calle de Ramón Pérez de Ayala,+34914301500,0,,+34914374020,28043545,EEI Los Girasoles,public,eei.losgirasoles.madrid@educa.madrid.org,https://www.educa2.madrid.org/web/centro.eei.losgirasoles.madrid,,,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169191,kindergarten,,,Escuela Infantil La Jara,POINT (-3.7016118 40.3842671),,30,28026,Calle de las Hijas de Jesús,+34914769480,0,,+34914769480;+34626532634,28043557,EEI La Jara,public,eei.lajara.madrid@educa.madrid.org,http://www.educa.madrid.org/eei.lajara.madrid,,,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169203,kindergarten,,,Escuela Infantil Chavalitos,POINT (-3.7482599 40.4030559),,8,28047,Calle de Pradales,+34914630659,0,,+34914647850;+34914647591,28043508,EEI Chavalitos,public,eei.chavalitos.madrid@educa.madrid.org,http://www.educa.madrid.org/eei.chavalitos.madrid,,,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169206,kindergarten,,,Escuela Infantil Bärbel Inhelder,POINT (-3.6947663 40.5483975),,,28049,,+34914972301,0,,+34914972303;+34914972300,28043740,EEI Bärbel Inhelder,public,eei.barbelinhelder.madrid@educa.madrid.org,http://www.educa.madrid.org/eei.barbelinhelder.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169209,kindergarten,,,Escuela Infantil La Luna,POINT (-3.684753 40.3443823),,109,28021,Calle de Benimamet,+34917951408,0,,+34915051417,28043791,EEI La Luna,public,eei.laluna.madrid@educa.madrid.org,http://www.educa.madrid.org/eei.laluna.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169210,kindergarten,,,Escuela Infantil La Caracola,POINT (-3.6848848 40.4880852),,1,28034,Calle Belorado,,0,,+34913341938,28043788,EEI La Caracola,public,eei.lacaracola.madrid@educa.madrid.org,http://www.educa.madrid.org/eei.lacaracola.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169212,kindergarten,,,Escuela Infantil San Fermín,POINT (-3.6928051 40.3733742),,14,28041,Calle de la Estafeta,+34917920502,0,,+34917920502,28043661,EEI San Fermín,public,eei.sanfermin.madrid@educa.madrid.org,http://www.educa.madrid.org/eei.sanfermin.madrid,,,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169213,kindergarten,,,Escuela Infantil Roger de Flor,POINT (-3.7326034 40.3936967),,18,28019,Plaza Roger de Flor,+34914717774,0,,+34914717774;+34630823862,28043651,EEI Roger de Flor,public,eei.rogerdeflor.madrid@educa.madrid.org,http://www.educa.madrid.org/eei.rogerdeflor.madrid,,,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169217,kindergarten,,,Escuela Infantil Vallehermoso,POINT (-3.7091922 40.4354905),,42,28015,Calle de Fernández de los Ríos,+34915941326,0,,+34915941326,28043715,EEI Vallehermoso,public,eei.vallehermoso.madrid@educa.madrid.org,http://www.educa.madrid.org/eei.vallehermoso.madrid,,,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169227,kindergarten,,,Centro Privado de Educación Infantil Ramón y Cajal,POINT (-3.6584876 40.4612031),,386,28043,Calle de López de Hoyos,+34915191424,0,,+34913000288;+34913005664,28043168,CPEI Ramón y Cajal,private,r.cajal@rcajal.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169240,kindergarten,,,Escuela Infantil Albaicín,POINT (-3.701622 40.3681492),,1,28041,Calle de Albaicín,+34913171194,0,,+34913171194;+34630142953,28043405,EEI Albaicín,public,eei.albaicin.madrid@educa.madrid.org,http://www.educa.madrid.org/eei.albaicin.madrid,,,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169351,kindergarten,,,Escuela Infantil Privada Santa Rosalía,POINT (-3.6310724 40.4661103),,36,28043,Calle de Motilla del Palancar,+34913001988,0,,+34913001988;+34690010214,28045542,EIPR Santa Rosalía,private,cc.santarosalia.madrid@educa.madrid.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169371,kindergarten,,,Escuela Infantil La Paloma,POINT (-3.7116612 40.4106956),,4,28005,Calle Tabernillas,+34913669006,0,,+34913642491,28044859,EEI La Paloma,public,eei.municipallapaloma.madrid@educa.madrid.org,http://www.educa.madrid.org/eei.municipallapaloma.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169373,kindergarten,,,,POINT (-3.6684961 40.4218334),,3,28028,Calle Condes de Torreanaz,,0,,+34914091827,28044884,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169376,kindergarten,,,Escuela Infantil Privada Delphos,POINT (-3.6476632 40.4410373),,34,28027,Calle del Estrecho de Corea,,0,,+34914086309;+34640783490,28044914,EIPR Delphos,private,escuelainfantildelphos@gmail.com,https://escuelainfantildelphos.es/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169380,kindergarten,,,Centro Privado de Educación Infantil Can-ta-chimutri (sol y Luna),POINT (-3.7236953 40.467202),,6,28035,Calle Ruperto Andrés,+34913734462,0,,+34913738282;+34649047444;+34913736207,28044951,CPEI Can-ta-chimutri (sol y Luna),private,presenciagitana@presenciagitana.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169523,kindergarten,,,Escuela Infantil Privada Pequeño Koala,POINT (-3.615526 40.404783),Madrid,20,28032,Camino Viejo de Vicálvaro,,0,,+34913719836,28046686,EIPR Pequeño Koala,private,escuelainfantil@pequekoala.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169573,kindergarten,,,Escuela Infantil Privada Gran Vía,POINT (-3.6490202 40.4665324),,48,28043,Calle de Alejandro Villegas,,0,,+34913000630,28046054,EIPR Gran Vía,private,marisamoya.4@gmail.com,https://www.escuelainfantilgranvia.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169662,kindergarten,,,Escuela Infantil La Pradera,POINT (-3.7192153 40.3972135),,8,28019,Calle de Antonio Vico,+34914723816,0,,+34914723816,28048661,EEI La Pradera,public,eei.lapradera.madrid@educa.madrid.org,http://www.educa.madrid.org/eei.lapradera.madrid,,limited,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169707,kindergarten,,,Escuela Infantil El Sur,POINT (-3.6989746 40.3492002),,12,28021,Calle Cifuentes,+34917979754,0,,+34917983944,28047915,EEI El Sur,public,eei.elsur.madrid@educa.madrid.org,http://www.educa.madrid.org/eei.elsur.madrid,,,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169708,kindergarten,,,Escuela Infantil-casa de Niños Lope de Vega,POINT (-3.7235098 40.3946793),,8,28019,Calle de Inglaterra,+34914722560,0,,+34914722560,28047903,EEI Lope de Vega,public,cn.lopedevega.madrid@educa.madrid.org,http://www.educa.madrid.org/cn.lopedevega.madrid,,,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169731,kindergarten,,,Escuela Infantil Amadeo Vives,POINT (-3.7559035 40.3968693),,6,28047,Calle de los Yébenes,+34917080207,0,,+34687011831,28047861,EEI Amadeo Vives,public,cn.amadeovives.madrid@educa.madrid.org,http://www.educa.madrid.org/cn.amadeovives.madrid,,,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169736,kindergarten,,,Escuela de Educación Infantil Parque de Hortaleza,POINT (-3.6464796 40.4732282),,6,28033,Calle del Mar Caspio,+34913815461,0,,+34913815461;+34608497998,28047897,EEI Parque de Hortaleza,public,eei.parquehortaleza.madrid@educa.madrid.org,http://www.educa.madrid.org/eei.parquehortaleza.madrid,,,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169746,kindergarten,,,Escuela Infantil Hiedra,POINT (-3.6192962 40.4227266),,34,28037,Calle Amposta,,0,,+34913062533,28047654,EEI Hiedra,public,eei.hiedra.madrid@educa.madrid.org,http://www.educa.madrid.org/eei.hiedra.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169760,kindergarten,,,Escuela Infantil Rosa,POINT (-3.6798926 40.4657009),Madrid,173,28036,Calle de Menéndez Pidal,,0,,+34913501362;+34608434511,28047691,EEI Rosa,public,eei.rosa.madrid@educa.madrid.org,http://www.educa.madrid.org/eei.rosa.madrid,,,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169765,kindergarten,,,Escuela Infantil La Colina,POINT (-3.5786799 40.4714578),,2,28042,Calle de Nuestra Señora de Araceli,,0,,+34913010167;+34635337550,28047484,EEI La Colina,public,eei.lacolina.madrid@educa.madrid.org,http://www.educa.madrid.org/eei.lacolina.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169827,kindergarten,,,Escuela Infantil Privada Alce,POINT (-3.6514873 40.4219207),,38,28017,Calle del Poeta Blas de Otero,,0,,+34910409944;+34605177517,28050598,EIPR Alce,private,escuelainfantilalce@gmail.com,https://www.escuelainfantilalce.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169837,kindergarten,,,Escuela Infantil Privada Denenes,POINT (-3.647407 40.4363288),,13,28027,Calle de la Virgen de Lluc,,0,,+34914072609;+34635449949,28050483,EIPR Denenes,private,ESTELACHAVESP@HOTMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169890,kindergarten,,,Escuela Infantil Privada Mamá Queca I,POINT (-3.6510863 40.4691276),,4,28043,Calle Aránzazu,,0,,+34913814463;+34687956282;+34627439191,28056692,EIPR Mamá Queca I,private,mama.queca@telefonica.net,https://mamaqueca.es/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169909,kindergarten,,,Escuela Infantil Mi Cole,POINT (-3.6369918 40.4100165),Madrid,7,28030,Calle de Antonio Cumella,,0,,+34913711235,28056515,EEI Mi Cole,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169910,kindergarten,,,"Zona Casas de Niños Capital-1, Nuestra Señora de la Fuencisla",POINT (-3.6974005 40.3803439),,39,28026,Calle de Tomelloso,,0,,+34914752598,28056382,,public,zcn.capital1.madrid@educa.madrid.org,http://www.educa.madrid.org/zcn.capital1.madrid,,,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266169913,kindergarten,,,Escuela Infantil Privada Luismapetonga-peluches,POINT (-3.6117072 40.4189884),,156,28032,Calle Toscana,,0,,+34913135907;+34609725299,28056473,EIPR Luismapetonga-peluches,private,infoluismapetonga@gmail.com,https://escuelasinfantilesluismapetonga.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
