element_type,osmid,name,shop,geometry,addr:housenumber,addr:street,addr:city,addr:postcode,brand,brand:wikidata,brand:wikipedia,check_date,contact:website,old_name,source,wheelchair,contact:phone,old_name_1,addr:country,email,phone,website,wheelchair:description,opening_hours,level,contact:facebook,name:es,ref,internet_access,operator,payment:app,payment:contactless,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:visa,payment:visa_electron,survey:date,nodes,building,building:levels
node,2928404102,Generación X,toys,POINT (-3.7093509 40.4825696),57,Calle de Fermín Caballero,Madrid,28034,Generación X,,,,,,,,,,ES,fermincaballero@generacionx.es,+34 91 730 0168,https://www.generacionx.es/,,,,,,,,,,,,,,,,,,,
node,3161138676,juguetería de ocasión,toys,POINT (-3.7256099 40.3921841),,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
node,3209026361,Hobby Antonio,toys,POINT (-3.7086761 40.4093159),5,Plaza General Vara del Rey,Madrid,28005,,,,,,,,no,,,,,,,Existe un escalón,,,,,,,,,,,,,,,,,,
node,3429275102,Bricks Madrid,toys,POINT (-3.7029838 40.4196501),10,Calle de la Salud,Madrid,28013,,,,,,,,,,,,,,,,"Mo-Fr 11:00-14:00,16:00-21:00; Sa,Su 12:00-21:00",,,,,,,,,,,,,,,,,
node,3670172959,Tiendas Así,toys,POINT (-3.7072271 40.4174912),20,Calle del Arenal,Madrid,28013,,,,,https://tiendas-asi.com/,,,,+34 91 521 97 55,,,,,,,,,,,,,,,,,,,,,,,,
node,4109389246,Party tu y yo,toys,POINT (-3.6962008 40.4640166),329,Calle de Bravo Murillo,,,,,,,http://www.partytuyyo.com,,,yes,+34 91 571 95 37,,,,,,quitar obstaculo,,,,,,,,,,,,,,,,,,
node,4234288390,,toys,POINT (-3.6684188 40.4454698),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4304405042,Bego,toys,POINT (-3.719479 40.4813618),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4374465572,Zacatrus!,toys,POINT (-3.7121826 40.4351983),57,Calle de Fernández de los Ríos,Madrid,28015,,,,,,,,,,,,,+34 917 87 56 91,https://zacatrus.es/,,Mo-Sa 10:00-21:00,,,,,,,,,,,,,,,,,
node,4417323860,Party tu y yo,toys,POINT (-3.7078835 40.4339734),,,,,,,,,http://www.partytuyyo.com,,,,+34 447 33 90,,,,,,,,,,,,,,,,,,,,,,,,
node,4621851020,Imaginarium,toys,POINT (-3.5871177 40.4473778),,,,,,,,,,,survey,,,,,,,,,,0,,,,,,,,,,,,,,,,
node,4621865346,Juguettos,toys,POINT (-3.587763 40.4466256),,,,,Juguettos,Q105339592,,,,,survey,,,,,,,,,,0,,,,,,,,,,,,,,,,
node,4621865353,Poly,toys,POINT (-3.5874881 40.4474961),,,,,,,,,,,survey,,,,,,,,,,0,,,,,,,,,,,,,,,,
node,4677022774,Galaxysaurio,toys,POINT (-3.7098926 40.4080488),14,Calle de la Arganzuela,Madrid,28005,,,,,http://www.galaxysaurio.es/,,,,+34 619901775,,,,,,,,,,,,,,,,,,,,,,,,
node,4725967130,Wonderland,toys,POINT (-3.6982726 40.4109472),11,Calle de Santa Isabel,Madrid,28012,,,,,,,,no,+34 911 13 05 30,,,,,,,,,https://es-es.facebook.com/WonderlandTiendaMadrid/,,,,,,,,,,,,,,,
node,4738041539,Toylandia,toys,POINT (-3.7029045 40.4297624),115,Calle de Fuencarral,Madrid,28010,,,,,http://www.toylandia.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4778747538,Zigzag,toys,POINT (-3.6975797 40.4223931),26,Calle de Barbieri,Madrid,28004,,,,,https://www.zigzagkids.es/,,,,+34 91 532 74 64,,,,,,,,,,,,,,,,,,,,,,,,
node,4816066524,Lobo Feliz,toys,POINT (-3.6983107 40.4259408),28,Calle de San Mateo,,28004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4860241223,Bazar Matey,toys,POINT (-3.7005136 40.4350967),1,Calle de la Santísima Trinidad,,28010,,,,,,,,,,,,bazar@matey.com,+34 914469311,https://www.matey.com/,,,,,Bazar Matey,,,,,,,,,,,,,,
node,4885020986,Baby Deli,toys,POINT (-3.6849462 40.4209905),91,Calle de Alcalá,Madrid,28001,,,,,,,survey,,,,ES,,,,,,,,,,,,,,,,,,,,,,
node,5304582521,Lego,toys,POINT (-3.7062201 40.4797278),,,,,Lego,Q1063455,en:The Lego Group,,,,survey,,,,,,,,,,0,,,L-50,,,,,,,,,,,,,
node,5304582622,Eureka Kids,toys,POINT (-3.705707 40.479856),,,,,,,,,,,survey,,,,,,,,,,0,,,L-91,,,,,,,,,,,,,
node,5350251729,Imaginarium,toys,POINT (-3.7054968 40.4796827),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5350260623,Party Fiesta,toys,POINT (-3.7052144 40.4799783),,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,
node,5350272924,Disney,toys,POINT (-3.7065095 40.4794534),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5358841803,Eurekakids,toys,POINT (-3.7028097 40.4295441),111,Calle de Fuencarral,Madrid,28010,,,,,https://www.eurekakids.es/,,,,+34 914450047,,,,,,,,,,,,,,,,,,,,,,,,
node,5407227095,Ofelia,toys,POINT (-3.6940126 40.4263619),26,Calle de Argensola,Madrid,28004,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
node,5642549249,Dideco,toys,POINT (-3.6788089 40.4431923),133,Calle del Príncipe de Vergara,Madrid,28002,,,,,,,,,+34 281 71 18,,,,,,,,,,,,,,,,,,,,,,,,
node,5642551945,Dideco,toys,POINT (-3.7107478 40.4387425),29,Calle de Cea Bermúdez,,28003,,,,,,,,no,+34 91 826 20 26,,,,,,,,,,,,,,,,,,,,,,,,
node,5782146053,Model Reyna,toys,POINT (-3.7041013 40.4210995),24,Calle del Desengaño,,28004,,,,,,,,,,,,,+34 915211165,http://modelreyna.com,,Mo-Sa 10:00-14:00,,,,,,,,,,,,,,,,,
node,5782146253,Azor Modelismo,toys,POINT (-3.7001104 40.4340119),27,Calle de Juan de Austria,,28010,,,,,,,,no,,,,,+34 914453005,http://azormodelismo.com,,Mo-Fr 10:00-14:00,,,,,,,,,,,,,,,,,
node,5838658087,Brick Bang,toys,POINT (-3.6698129 40.4243405),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6239846080,Imaginarium,toys,POINT (-3.7057697 40.4795999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6257675087,Circo Kids,toys,POINT (-3.6951937 40.4247876),2,Calle de Argensola,Madrid,28004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6266243875,Party tu y yo,toys,POINT (-3.6424384 40.4349878),4,Calle de Amós de Escalante,Madrid,28017,,,,,http://www.partytuyyo.com,,,,+34 91 572 07 55,,ES,,,,,,,,,,,,,,,,,,,,,,
node,6336187133,Super Juguete,toys,POINT (-3.6711478 40.4409626),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6461244100,Juguetes MIB,toys,POINT (-3.7220317 40.3941945),,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
node,6556361571,Cucutoys,toys,POINT (-3.704736 40.4785663),6,Plaza de Mondariz,Madrid,28029,,,,,,,,,,,,hola@cucutoys.es,+34 911690738,https://cucutoys.es,,"Mo-Fr 10:00-14:00,16:00-19:00",,,,,wlan,"Resume Next, SL",yes,yes,yes,yes,yes,yes,yes,,,,
node,6585835601,Empiezadores,toys,POINT (-3.6605443 40.4016507),25,Calle de la Sierra Toledana,Madrid,28038,,,,,,,,,,,ES,,,https://www.empiezadores.com/,,,,,,,,,,,,,,,,,,,
node,6897985386,Don Juego,toys,POINT (-3.6812741 40.422477),113,Calle de Alcalá,,28009,,,,,,,,,,,,info@donjuego.es,+34914353724;+34 914 314 349,https://www.donjuego.es/,,Mo-Sa 10:00-21:00; Su 11:00-15:00,,,,,,,,,,,,,,,,,
node,6897985387,Cuarto de juegos,toys,POINT (-3.6819182 40.4235811),42,Calle de Jorge Juan,,28009,,,,,,,,,,,,cuartodejuegos@cuartodejuegos.es,+34 91 435 00 99,https://www.cuartodejuegos.es/,,"Mo-Fr 10:00-20:30; Sa-Su 10:30-14:00, 17:00-20:00",,,,,,,,,,,,,,,,,
node,7041933588,Juguetes Poly,toys,POINT (-3.5987758 40.3686181),,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7131719255,Juguetes Fantasía,toys,POINT (-3.666495 40.3959946),2,Calle de las Lomas de Horcajo,Madrid,28053,,,,,,,,,,,,,,https://juguetesfantasia.com,,,,,,,,,,,,,,,,,,,
node,7131719257,Juguetes Fantasía,toys,POINT (-3.6651981 40.3960625),56,Avenida de la Albufera,Madrid,28053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7165447186,Hola Caracola,toys,POINT (-3.6948037 40.434554),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7165540985,Juguettos,toys,POINT (-3.6773924 40.4324009),42,Calle de Juan Bravo,,,Juguettos,Q105339592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7165540986,Juguettos,toys,POINT (-3.7015615 40.3904892),109,Calle de Antonio López,Madrid,28026,Juguettos,Q105339592,,,,,,,,,ES,,,,,,0,,,,,,,,,,,,,,,,
node,7165553085,Poly,toys,POINT (-3.7200772 40.4213226),2,Paseo de la Florida,,,,,,,,,,yes,,,,,,,,,0,,,,,,,,,,,,,,,,
node,7165569185,Kamchatka,toys,POINT (-3.6970442 40.4137798),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-23,,,
node,7168562385,Poly,toys,POINT (-3.6870755 40.4321401),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7170743486,Poli,toys,POINT (-3.6459271 40.4339196),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7170750585,Poly,toys,POINT (-3.6220834 40.4180821),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7170750587,Poly,toys,POINT (-3.6628697 40.3811644),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7170775585,Poly,toys,POINT (-3.6994571 40.4598495),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7170778785,Poly,toys,POINT (-3.7057589 40.4807927),,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,
node,7181896985,Super jugete,toys,POINT (-3.6759352 40.4190372),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8158857811,Generación X - Ginzo,toys,POINT (-3.7043854 40.4781909),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8439724168,Juguetes Mib,toys,POINT (-3.669248 40.4069218),,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
node,9067023476,Eureka Kids,toys,POINT (-3.5986802 40.3687076),,,,,,,,,,,survey,,,,,,+34 916 22 69 36,https://www.eurekakids.es/,,Mo-Su 10:00-22:00,0,,,,,,,,,,,,,,,,
node,9443076699,Mi Juguetería,toys,POINT (-3.7336832 40.3870707),,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
node,9443076707,Juguetería Ángel,toys,POINT (-3.7334879 40.3875823),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10013850682,Liquidación de juguetes,toys,POINT (-3.6437474 40.3708989),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10126266814,Lego,toys,POINT (-3.7527464 40.3754956),,,,,Lego,Q1063455,,,,,,yes,,,,,,,,Mo-Fr 10:00-19:30; Sa 11:00-14:00,,,,,,,,,,,,,,,,,
node,10210520948,Muñecos realistas Reborn,toys,POINT (-3.7105879 40.4591092),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10240235956,Bicos de Bichos,toys,POINT (-3.7794134 40.3791643),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,289295109,Dideco,toys,"POLYGON ((-3.6937688 40.4898112, -3.6937633 40.4895394, -3.6941014 40.4895369, -3.6943228 40.4895352, -3.6944198 40.4897709, -3.6944364 40.4898112, -3.6941219 40.4898112, -3.6937688 40.4898112))",36,Calle de Xaudaró,Madrid,28034,,,,,,,,,,,ES,dideco.xaudaro@dideco.es,+34 91 358 0423,https://www.dideco.es/,,,,,,,,,,,,,,,,,"[2928386060, 2928386058, 2928386057, 2928386056, 4309734475, 2928386061, 4309734476, 2928386060]",commercial,
way,350124161,Dideco,toys,"POLYGON ((-3.6362695 40.4395201, -3.6362328 40.439535, -3.6361412 40.4394103, -3.6363241 40.4393343, -3.6363287 40.4393324, -3.6363968 40.4394264, -3.6362485 40.43949, -3.6362695 40.4395201))",17,Calle del Arzobispo Cos,Madrid,28027,,,,,,,,,,,ES,,,,,,,,,,,,,,,,,,,,"[3557978299, 3558739650, 3558739634, 3557978057, 3557978056, 3557978084, 3557978297, 3557978299]",commercial,1
