element_type,osmid,created_by,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,barrier,amenity,email,fax,isced:level,name,operator,operator:type,phone,ref:educamadrid,short_name,website,school:language,wheelchair,wikidata,old_name,addr:unit,bus_routes,canteen,extended_hours,internet_access,school:type,start_date,denomination,language:fr,religion,alt_name,wikipedia,language:it,language:en,language:nl,language:ar,note,language:de,official_name,fixme,drink:club-mate,addr:housename,int_name,addr:country,name:es,shop,office,contact:email,contact:fax,contact:phone,description,fair_trade,image,source,name:en,opening_hours,education,material,contact:website,min_age,school,name:ja,nodes,name:etymology:wikidata,name:fr,ref:AEFE,fence_type,pedagogy,url,designation,height,grades,building,wall,community,community:en,community:fr,community:gender,nohousenumber,building:levels,toilets:wheelchair,wheelchair:description,construction,landuse,roof:levels,roof:shape,addr:milestone,addr:ref,check_date,building:name,language:ja,year_of_construction,level,building:use,disused,max_level,min_level,type,mobile,wikimedia_commons,addr:place,ways
node,266167537,,POINT (-3.7093833 40.3827694),Madrid,65,28026,Calle de Dolores Barranco,,school,cc.sanluisfelca.madrid@educa.madrid.org,,0;1,Centro Privado de Educación Infantil y Primaria San Luis-felca,,private,+34914758162,28007371,CPEIP San Luis-felca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167560,,POINT (-3.7257724 40.3849226),,25,28025,Calle de Antonio Moreno,,school,cp.arciprestedehita.madrid@educa.madrid.org,+34914605635,0;1,Colegio de Educación Infantil y Primaria Arcipreste de Hita,Comunidad de Madrid,public,+34915605495,28006469,CEIP Arcipreste de Hita,http://www.educa.madrid.org/cp.arciprestedehita.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167561,,POINT (-3.5941147 40.455138),,17,28042,Paseo de la Alameda de Osuna,,school,colegio@colegio-alameda.com,+34917427196,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Alameda de Osuna",,private,+34917427011,28006561,CPEIPS Alameda de Osuna,http://www.educa.madrid.org/cpr.alamedadeosuna.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167565,,POINT (-3.7726641 40.3802565),,50,28044,Calle de José de Cadalso,,school,cc.beatafilipina.madrid@educa.madrid.org,+34917063021,1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Beata Filipina-fund.feliciana Viertola",,private,+34917063021,28006809,CPEIPS Beata Filipina-fund.feliciana Viertola,https://beatafilipina.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167566,,POINT (-3.6918802 40.3549461),,79,28041,Calle del Sáhara,,school,cc.liceooroquieta.madrid@educa.madrid.org,,0;1,Centro Privado de Educación Infantil y Primaria Liceo Oroquieta,,private,+34917961495,28008600,CPEIP Liceo Oroquieta,http://www.educa.madrid.org/cc.liceooroquieta.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167569,,POINT (-3.6987685 40.4620328),Madrid,297,28020,Calle de Bravo Murillo,,school,,+34915702612,2,Colegio Pablo VI,,private,+34915702601,28008612,,http://pablovi.es/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167570,,POINT (-3.7029033 40.4972833),,4,28034,Calle de la Costa Brava,,school,eprd_secretaria@fomento.edu,+34917341679,1;2,Centro Privado de Educación Primaria y Secundaria El Prado,,private,+34917355710,28008715,CPEPS El Prado,http://www.colegioelprado.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167597,,POINT (-3.6140021 40.4459524),,589,28022,Calle de Alcalá,,school,cc.nsdelasnieves.madrid@educa.madrid.org,+34917410009,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Nuestra Señora de las Nieves",,private,+34917410009,28008405,CPEIPS Nuestra Señora de las Nieves,https://colegionuestrasradelasnieves.es/,es;en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167607,,POINT (-3.6072162 40.4269984),,33,28022,Calle del Butrón,,school,cc.sanvicente.madrid@educa.madrid.org,+34913067074,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria San Vicente",,private,+34913067074;+34630342351,28009458,CPEIPS San Vicente,http://www.COLEGIOCONCERTADOSANVICENTE.ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167609,,POINT (-3.6477394 40.4335241),,337,28027,Calle de Alcalá,,school,cc.teideiv.madrid@educa.madrid.org,+34914080451,5,Centro Privado de Formación Profesional Específica Teide IV,,private,+34914087311,28009884,CPFPE Teide IV,http://www.educa.madrid.org/cc.teideiv.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167610,,POINT (-3.6143057 40.4456264),,587,28022,Calle de Alcalá,,school,cc.santoangel.madrid@educa.madrid.org,+34917423505,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Santo Ángel de la Guarda",,private,+34917416154,28009823,CPEIPS Santo Ángel de la Guarda,https://colegiosantoangelmadrid.es/,es;en,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167617,,POINT (-3.7020249 40.3975606),Madrid,85,28045,Paseo de Santa María de la Cabeza,,school,cc.sanjavier.madrid@educa.madrid.org,+34914737568,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria San Javier",,private,+34914734216;+34914746443;+34915170573;+34917569402,28009203,CPEIPS San Javier,https://www.colegiosanjavier.es/,es;en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167619,,POINT (-3.6215668 40.3747333),,17,28031,Calle de la Revoltosa,,school,cc.saneulogio.madrid@educa.madrid.org,+34917958608,1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria San Eulogio",,private,+34913322848,28009082,CPEIPS San Eulogio,https://colegiosaneulogio.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167620,,POINT (-3.7032159 40.4507065),,150,28020,Calle de Bravo Murillo,,school,cc.sanantonio.madrid@educa.madrid.org,+34914560029,0;1,Centro Privado de Educación Infantil y Primaria San Antonio,,private,+34915339106,28008995,CPEIP San Antonio,http://www.educa.madrid.org/cc.sanantonio.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167628,,POINT (-3.7749985 40.3630969),,21,28044,Calle del Pinar de San José,,school,cc.institutosanjose.madrid@educa.madrid.org,+34915083760,,Centro Privado de Educación Especial Instituto San José,,private,+34915080140;+34617302306,28009276,CPEE Instituto San José,https://fundacioninstitutosanjose.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167658,,POINT (-3.7435168 40.4078881),,165,28011,Paseo de Extremadura,,school,cc.divinomaestro.madrid@educa.madrid.org,,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Divino Maestro",,private,+34914649481;+34914632304;+34914796746;+34914798254,28010540,CPEIPS Divino Maestro,http://www.educa.madrid.org/cc.divinomaestro.madrid,es;en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167661,,POINT (-3.628936 40.4300709),,7,28037,Calle Cangas de Onís,,school,cp.carmencabezuelo.madrid@educa.madrid.org,+34913049991,0;1,Colegio de Educación Infantil y Primaria Carmen Cabezuelo,Comunidad de Madrid,public,+34913040117,28010473,CEIP Carmen Cabezuelo,http://www.educa.madrid.org/cp.carmencabezuelo.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167664,,POINT (-3.7789704 40.3769063),,1,28044,Calle de Nuñomoral,,school,cc.carmeloteresiano.madrid@educa.madrid.org,+34917106655,0;1;2,"Centro de Educación Privado Infantil, Primaria y Secundaria El Carmelo Teresiano",,private,+34917052427,28011490,CPEIPS El Carmelo Teresiano,http://www.educa.madrid.org/cc.carmeloteresiano.madrid,es;en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167666,,POINT (-3.7296944 40.3806883),,4,28025,Calle Alfonso Martínez Conde,,school,cc.santabeatrizdesilva.madrid@educa.madrid.org,+34915607943,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Santa Beatriz de Silva",,private,+34915607943,28011428,CPEIPS Santa Beatriz de Silva,http://www.educa.madrid.org/cc.santabeatrizdesilva.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167668,,POINT (-3.7417133 40.3880584),,1,28025,Calle de Florencio Sanz,,school,,,0;1,Colegio Con-Pe,,private,+34914655118,28011611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167676,,POINT (-3.7564839 40.3691743),,28,28044,Calle de Gómez de Arteche,,school,cc.amoros.madrid@educa.madrid.org,+34915083064,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Amorós",,private,+34915111130,28011261,CPEIPS Amorós,http://www.colegioamoros.org,es;en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167684,,POINT (-3.705329 40.4369171),,39,28015,Calle de Bravo Murillo,,school,cp.sancristobal.madrid@educa.madrid.org,+34914480206,0;1,Colegio de Educación Infantil y Primaria San Cristóbal,Comunidad de Madrid,public,+34914481381,28010990,CEIP San Cristóbal,http://www.educa.madrid.org/cp.sancristobal.madrid,es;en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167698,,POINT (-3.7101201 40.3845035),,34,28026,Calle de Madridejos,,school,cc.luzcasanova-usera.madrid@educa.madrid.org,+34914753146,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Luz Casanova",,private,+34914753146;+34696546586,28012603,CPEIPS Luz Casanova,http://www.educa.madrid.org/cc.luzcasanova-usera.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167700,,POINT (-3.6137583 40.4541697),,24,28042,Calle de Luis de la Mata,,school,cc.mariacorredentora.madrid@educa.madrid.org,+34917429576,,Centro Privado de Educación Especial María Corredentora,,private,+34917413838,28012664,CPEE María Corredentora,http://www.educa.madrid.org/cc.mariacorredentora.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167703,,POINT (-3.7017956 40.4270218),,95,28004,Calle de Fuencarral,,school,marinamat@colegiomarinamat.com,+34914488971,2,Centro Privado de Educación Secundaria Marín Amat,,private,+34914488971,28012706,CPES Marín Amat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167705,,POINT (-3.7467054 40.3785709),,3,28025,Calle de la Época,,school,,+34914628610,0;1,Antiguo Colegio Hispanidad,,private,+34914628610,28012101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167709,,POINT (-3.6547379 40.4600803),,47,28043,Calle del Carril del Conde,,school,,+34913003202,,Institut.Hispano Americano de la Palabra,,private,+34913886477,28012287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167710,,POINT (-3.6894414 40.5229397),,,28049,Carretera de Colmenar Viejo,,school,cc.ipdoctorquinterolumbreras.madrid@educa.madrid.org,,,Centro Privado de Educación Especial Alenta,,private,+34917345138,28012299,CPEE Alenta,https://www.alenta.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167717,,POINT (-3.6113927 40.4532614),,23,28042,Calle de Vizconde de Uzquieta,,school,cc.smdelahispanidad.madrid@educa.madrid.org,+34917410115,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Santa María de la Hispanidad",,private,+34917412584;+34913203262,28011921,CPEIPS Santa María de la Hispanidad,http://www.educa.madrid.org/cc.smdelahispanidad.madrid,es;en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167722,,POINT (-3.6458623 40.438428),,1,28027,Calle de Zigia,,school,cc.corazondemaria.madrid@educa.madrid.org,,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Corazón de María",,private,+34913671269,28011647,CPEIPS Corazón de María,https://www.colegiocorazondemaria.es/,es;en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167737,,POINT (-3.6669014 40.4712848),,278,28033,Calle de Arturo Soria,,school,secretaria@colegiocha.com,+34913795592,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Huérfanos de la Armada",,private,+34913124929;+34913795604;+34913124935,28013383,CPEIPS Huérfanos de la Armada,https://www.colegiocha.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167794,,POINT (-3.7355487 40.3925091),,87,28019,Calle de Zaida,,school,cc.nsdelamerced-carabanchel.madrid@educa.madrid.org,+34914722261,0;1,Centro Privado de Educación Infantil y Primaria Nuestra Señora de la Merced,,private,+34914727650,28013279,CPEIP Nuestra Señora de la Merced,http://www.educa.madrid.org/cc.nsdelamerced-carabanchel.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167804,,POINT (-3.6940268 40.3596648),,12,28041,Paseo de Gigantes y Cabezudos,,school,cc.nsgracia.madrid@educa.madrid.org,+34913182886,2,Centro Privado de Educación Secundaria Nuestra Señora de Gracia,,private,+34913173225,28013140,CPES Nuestra Señora de Gracia,http://www.educa.madrid.org/cc.nsgracia.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167805,,POINT (-3.6413508 40.4351468),,11,28017,Calle de Francisco Madariaga,,school,cc.liceomadariaga.madrid@educa.madrid.org,+34914061491,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Liceo Madariaga",,private,+34914061491,28013188,CPEIPS Liceo Madariaga,http://www.educa.madrid.org/cc.liceomadariaga.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167808,,POINT (-3.7538461 40.3893443),,191,28047,Calle de Ocaña,,school,,,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Nuestra Señora de las Escuelas Pías",,private,+34917183685,28013097,CPEIPS Nuestra Señora de las Escuelas Pías,http://www.escolapiosaluche.com,,,Q47493398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167811,,POINT (-3.7453196 40.3821654),,54,28025,Calle de Monseñor Óscar Romero,,school,cc.lamilagrosa-carabanchel.madrid@educa.madrid.org,+34914623133,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Colegio la Milagrosa",,private,+34914623066;+34914628220,28013048,CPEIPS Colegio la Milagrosa,http://www.educa.madrid.org/cc.lamilagrosa-carabanchel.madrid,es;en,,,Colegio Ntra. Sra. del Carmen-Nájera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167813,,POINT (-3.6480012 40.4372118),,46,28027,Calle de Emilio Gastesi Fernández,,school,,+34913672450,2,Colegio Begoña,,private,+34913672450,28012974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167817,,POINT (-3.6711536 40.4325726),,8,28028,Calle de Martínez Izquierdo,,school,cc.natividadnuestrasenora.madrid@educa.madrid.org,+34917130855,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Natividad de Nuestra Señora",,private,+34913555686,28012901,CPEIPS Natividad de Nuestra Señora,https://www.colegionatividadmadrid.es/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167819,,POINT (-3.6081327 40.4072044),,15,28032,Calle de Villardondiego,,school,cc.minerva.madrid@educa.madrid.org,+34917762511,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Minerva",,private,+34917762511,28012846,CPEIPS Minerva,http://www.colegiominerva.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167821,,POINT (-3.7021039 40.4215066),,15,28004,Calle de Valverde,,school,cc.mmjuandealarcon.madrid@educa.madrid.org,+34915327756,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Madres Mercedarias de D. Juan de Alarcón",,private,+34915224615,28012779,CPEIPS Madres Mercedarias de D. Juan de Alarcón,http://www.educa.madrid.org/cc.mmjuandealarcon.madrid,es;en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167824,,POINT (-3.7285043 40.414614),,67,28011,Avenida de Portugal,,school,,+34915264927,0;1;2,Colegio Santa Cristina,,private,+34914640482,28014387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167827,,POINT (-3.6890396 40.3510801),,53,28021,Calle de José del Pino,,school,cc.sanpedro.madrid@educa.madrid.org,,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria San Pedro",,private,+34917979551;+34692811513,28014235,CPEIPS San Pedro,https://www.csanpedro.org/,es;en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167829,,POINT (-3.7253361 40.38513),,2,28025,Calle de Elvas,,school,,+34915699257,0;1,Colegio Cervantes,,private,+34915696189,28014296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167835,,POINT (-3.6921875 40.3727453),Madrid,17,28041,Calle de la Estafeta,,school,cc.sanfermin.madrid@educa.madrid.org,+34914750587,,Centro Privado de Educación Infantil y Primaria San Fermín,,private,+34917920535,28013966,CPEIP San Fermín,,,,,,local,"23, 78, 123",yes,yes,yes,concerted k12,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
